Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
e257ffa757814414c1a71afb683a0cec16d33f48d1e13b99014d997154befe78,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.188501,51.359876,On or near Parking Area,E01004150,Sutton 021C,Investigation complete; no suspect identified
f3cfe1a3cee63143ccf020648bd3512a72efd9daf75eacddcd48a75f9dd78cda,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.210458,51.365528,On or near FREDERICK GARDENS,E01004161,Sutton 014E,Investigation complete; no suspect identified
89b79382f48cf52ac0950324544ab46be488394dd1d55c415564f8f49d3f66b5,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.169999,51.350191,On or near EAST DRIVE,E01004105,Sutton 022C,Investigation complete; no suspect identified
57e9806d71b553d59081bd75e7531013f88364ae0b93a84d1f2aeb138b8758a9,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.180374,51.446732,On or near STATION ROAD,E01000379,Bexley 019F,Investigation complete; no suspect identified
c3cb6ba6f43f9606093f845f78886122207e047166f0c50121b464520b92c70c,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.160348,51.474324,On or near NORTHUMBERLAND PARK,E01000438,Bexley 007B,Investigation complete; no suspect identified
4da05fd787997e130241d57f45e7cf428c4a0d6633bb85068a7f8c4344809780,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.187183,51.476273,On or near RALEIGH CLOSE,E01000429,Bexley 008B,Investigation complete; no suspect identified
3d644a290a27e24d76288e36af736fcd3a9dffc1a1c27646308ff676ad570f4a,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.12901,51.459735,On or near REGENCY WAY,E01000394,Bexley 015E,Investigation complete; no suspect identified
f6bc9a2467433e5ccda10022a2ecc1c772be29a4188811226a80d0ff0a82b4ca,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.110648,51.503242,On or near WATERFIELD CLOSE,E01001694,Greenwich 001D,Investigation complete; no suspect identified
f6bc9a2467433e5ccda10022a2ecc1c772be29a4188811226a80d0ff0a82b4ca,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.110648,51.503242,On or near WATERFIELD CLOSE,E01001694,Greenwich 001D,Investigation complete; no suspect identified
f6bc9a2467433e5ccda10022a2ecc1c772be29a4188811226a80d0ff0a82b4ca,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.110648,51.503242,On or near WATERFIELD CLOSE,E01001694,Greenwich 001D,Investigation complete; no suspect identified
542365150fa9efc7c5ded34b29bed217b0a887141e1bf9c1821cfa81e4c71ff7,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.01189,51.484978,On or near ANNANDALE ROAD,E01001665,Greenwich 037C,Investigation complete; no suspect identified
e84642a6071015841a9ac47c837df87af0ba0e941bf1156001e3c7b75cbad985,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.023518,51.500526,On or near BYNG STREET,E01032772,Tower Hamlets 032C,Investigation complete; no suspect identified
321c42cdace9d7ad9f74034b8b51683d9acc34bef4312fc4c012269c3231ac42,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.00955,51.508617,On or near Supermarket,E01004219,Tower Hamlets 028B,Investigation complete; no suspect identified
c18f25c2efc1282d2f0cb56de6b69a61a69220dbbbf6a59a726610c80d7640b0,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.043029,51.519639,On or near TRAFALGAR GARDENS,E01004290,Tower Hamlets 016D,Investigation complete; no suspect identified
faed69773ef86c8a8b4ead9c9e36bcafcb10dbdb12defb8812f211a16da46c3d,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.046713,51.395035,On or near COBALT CLOSE,E01032568,Bromley 041E,Investigation complete; no suspect identified
f4c8b0016207a9bf2cd77e07ff9a1189da74240062ef547e6e3277305ac6add8,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.041212,51.38841,On or near LAVENDER CLOSE,E01000661,Bromley 026A,Investigation complete; no suspect identified
92b397b41bc99cf3ca812967229cee4605422da48d3e9963041225e1ca0e1262,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.039378,51.389827,On or near VICTORIA ROAD,E01000669,Bromley 020C,Investigation complete; no suspect identified
a0f784c4ea3903ec5b2728ed6c0cca2bc89207b9ea28776e0d7d52e264ac582f,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.055267,51.422994,On or near ELMSTEAD AVENUE,E01000784,Bromley 002E,Investigation complete; no suspect identified
133856f060b69b75583fc5f1552842810002992b6bd8f49bc29bf45477b95295,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.097013,51.389142,On or near FOREST WAY,E01000732,Bromley 023D,Investigation complete; no suspect identified
acb9e208c16aba7794fe824b3b70b75ed32abc6e2bfaff2f0e7492e335f9c21a,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.01379,51.42544,On or near SOUTHOVER,E01003237,Lewisham 037B,Investigation complete; no suspect identified
e68c0aead53c96a8c6b1aa9508b9779eea7a4c9061106f61c46c5cdb08be8134,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.058769,51.385045,On or near HAZEL WALK,E01000663,Bromley 026C,Investigation complete; no suspect identified
d8a515012eb34a9d539060f253591a3d5850b2b74de20623ef2709053bf645d8,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.107911,51.36105,On or near ETON ROAD,E01000795,Bromley 032E,Investigation complete; no suspect identified
4e3a350ad118df43e1c3762aa0a893ecc96b190dc2997d16abe182ea5552a69e,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.016998,51.412031,On or near CRESCENT ROAD,E01000823,Bromley 008E,Suspect charged
b5f55e035bb559aa59a4d817a34c12b711f3795952d53ed85cc363b6754a3352,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.011086,51.376926,On or near STATION APPROACH,E01000765,Bromley 034D,Investigation complete; no suspect identified
47218424388155fcded0d3e264c434ac384e2dc9f79308edb170b86018729154,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.015002,51.424853,On or near HILLCREST ROAD,E01000816,Bromley 040A,Investigation complete; no suspect identified
4e514e5670cc57f01ac7d065c4241edf581ea884e664326b6ba64d27c0b9d1b5,2020-06,Metropolitan Police Service,Metropolitan Police Service,0.00105,51.448914,On or near SPRINGBANK ROAD,E01003295,Lewisham 017D,Investigation complete; no suspect identified
75510d90d1dd173c5899cc05cae917f76ae503cd4165335f0ad3af272e522566,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.036763,51.461541,On or near HOWSON ROAD,E01003214,Lewisham 008D,Investigation complete; no suspect identified
a9b6619252c982a982351e5469547594c8fe384761fb85b92f1d06fb81d88d57,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.052806,51.426899,On or near LYRIC MEWS,E01003334,Lewisham 033E,Investigation complete; no suspect identified
99c3f87c52271065a6e1c49d94cf4ce1bd96df80ebea82c2ffdb98c0d9c0c400,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.025443,51.476665,On or near HALES STREET,E01003304,Lewisham 039D,Investigation complete; no suspect identified
ff2d0f5e5d7b93be9b53df0a8466c224b7f847d47c7c2ddde07f3d7702848e0b,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.047229,51.424432,On or near TREWSBURY ROAD,E01003327,Lewisham 035B,Investigation complete; no suspect identified
cd4a807e5345db5de81af77eff5cddd3c58c615c7d0224339f8dc8d89f990b82,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.049129,51.443654,On or near BEADNELL ROAD,E01003229,Lewisham 019D,Investigation complete; no suspect identified
cbb0bf25c25318e34d75401eb2edf244fedcb61ee34e64434e951dcbd45bbb25,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.037859,51.427585,On or near PORTHCAWE ROAD,E01003190,Lewisham 034B,Investigation complete; no suspect identified
e54f2487a13de1a2dea6627410b3b628bad693d691dfb6694d9dd522fc3b805f,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.016218,51.450961,On or near ROXLEY ROAD,E01003293,Lewisham 017B,Investigation complete; no suspect identified
2f62f5ae2754282f9e14a73210b110ef44457bd891f5d32e9df8b8e5f123005b,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.022717,51.443121,On or near Sports/Recreation Area,E01003318,Lewisham 020B,Investigation complete; no suspect identified
c7025af88dc94ff34ae8c19ffbd3f617d59496d54786d81fe081ba10a16ac283,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.017075,51.457082,On or near CHURCH GROVE,E01033327,Lewisham 012F,Investigation complete; no suspect identified
416f638d4cb1e0ee96dfb96ebd0bd1238963323176e14766614fd70b6ef0afce,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.074791,51.399402,On or near HIGH STREET,E01001145,Croydon 008C,Investigation complete; no suspect identified
d99159dca9efce0607bb42a793ed33a43e89f07e47f2b15cceec40e78b31f177,2020-06,Metropolitan Police Service,Metropolitan Police Service,-0.041108,51.375157,On or near MEAD WAY,E01001133,Croydon 026E,Investigation complete; no suspect identified
