Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
97c78822ddeccafd79b1b480691afcbd33eed2805cbedeeb60570ef24a0bf54d,2021-02,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
7075998821432b173262283f035ad5423dc1a059071ed92270d957309713fc7d,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.077146,51.533359,On or near KINGSLAND ROAD,E01001776,Hackney 025F,Investigation complete; no suspect identified
1b7be4d0d07b1e9c05cbd208ff36c9c71de8c9916f0365a02e96fcc749480d6c,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.058934,51.564246,On or near Petrol Station,E01001822,Hackney 029C,Investigation complete; no suspect identified
c803a845fedcad10a875259f177b625313618284ab98389e9a490f79fdcf3ffd,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.083588,51.668927,On or near ELM GARDENS,E01001413,Enfield 004D,Investigation complete; no suspect identified
37a0473c3fcb25f25c7a6cbd97096aa88d99ea1440a2f589f2594c318bbd05eb,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.078178,51.585719,On or near WOODHAVEN GARDENS,E01003648,Redbridge 012B,Investigation complete; no suspect identified
550718db02583dfec56f07437efd3baeac6e286461e514ce983b28f15c1e93ba,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.006248,51.48884,On or near GLENAFFRIC AVENUE,E01004218,Tower Hamlets 030D,Investigation complete; no suspect identified
7cfc1f76b8ba205f09f8b482c3c5008600e2acb726e27895eb3aad2aea03db43,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.030223,51.529811,On or near BALMER ROAD,E01004229,Tower Hamlets 004C,Investigation complete; no suspect identified
fb2b90fca99f8e150cae5717b6ae4598c071def4cd2d7f5f7939a6ec7b2bce0e,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.056192,51.524993,On or near GLASS STREET,E01004212,Tower Hamlets 011D,Investigation complete; no suspect identified
51a46cdb193e39cf85e884ad050e7b65830844780cd5475c51540c78f27eeacb,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.029076,51.516986,On or near BOOKER CLOSE,E01004273,Tower Hamlets 014E,Investigation complete; no suspect identified
a31c964cf99faf1705313d313a0bf2f4edadeced99f792751aede5d1b51a4dcc,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.070094,51.516697,On or near OSBORN STREET,E01004306,Tower Hamlets 015A,Investigation complete; no suspect identified
614dff3b922a8ec9d65ef02fe328e3c9602105552bd72e295c29d51e1fadb64b,2021-02,Metropolitan Police Service,Metropolitan Police Service,-0.150556,51.367251,On or near HARCOURT FIELD,E01004172,Sutton 010B,Investigation complete; no suspect identified
ddd0d83869f120aa7913d27ce54d2ce34c1051e849fa27f64d434e5aa4669dc3,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.126566,51.569034,On or near BELFAIRS DRIVE,E01003662,Redbridge 019B,Investigation complete; no suspect identified
21e6e2912d218881118f7dd4ecb889557f3db8044496b239926c5782151096b5,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.125644,51.570921,On or near MAYESFORD ROAD,E01003661,Redbridge 019A,Investigation complete; no suspect identified
7d333d9dd97fb97604cfaac72bde03dd548df851575b16b70bbd534eafed7b93,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.067299,51.563573,On or near CRANBROOK ROAD,E01003788,Redbridge 029D,Investigation complete; no suspect identified
d2229f7d41d619d58febf43701f5e3d393af697a4dd020555c4e861000ef98b4,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.067299,51.563573,On or near CRANBROOK ROAD,E01003788,Redbridge 029D,Investigation complete; no suspect identified
418953fba55fe45080d8de1dbc17af1abfe590fc415db0bc73e42ebae03f2916,2021-02,Metropolitan Police Service,Metropolitan Police Service,0.051166,51.571536,On or near WELLS GARDENS,E01003693,Redbridge 035D,Investigation complete; no suspect identified
