Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c4141051e3e80d90bf6b52eb69cadaddbcc39097c85fe876b12113a82f0882f2,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.227874,51.50221,On or near GOLDHAWK ROAD,E01001940,Hammersmith and Fulham 005B,Investigation complete; no suspect identified
ba57c81310cab5ad8ef9685011e569b7bc940afea3b6aa4ecee976e3dbb4c13c,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.22563,51.506942,On or near MACFARLANE ROAD,E01001943,Hammersmith and Fulham 004A,Investigation complete; no suspect identified
ba57c81310cab5ad8ef9685011e569b7bc940afea3b6aa4ecee976e3dbb4c13c,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.22563,51.506942,On or near MACFARLANE ROAD,E01001943,Hammersmith and Fulham 004A,Investigation complete; no suspect identified
e77480a6e5340a9b63ddc93b993bf4d7e1eb12a57af5bfd7dc4374dc252d6a78,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.212414,51.526506,On or near ADELA STREET,E01002852,Kensington and Chelsea 001A,Investigation complete; no suspect identified
fbaa5dc25eee2b76d5e1a3218ddf21d4a5faf4da42cf7c94a330af8bdba6fc7a,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.219166,51.495693,On or near BROOK GREEN,E01001869,Hammersmith and Fulham 010D,Investigation complete; no suspect identified
1a1cc09dbe576a7fdf4820c2855d641381b035a6bd26027eaee01710e70166c8,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.044252,51.556034,On or near ELDERFIELD ROAD,E01001789,Hackney 015C,Investigation complete; no suspect identified
0c678b6e32c5356c4ca7a95b75b6faf2ccb73672d81470a94d2672b3a61e55f5,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.056614,51.504587,On or near WAPPING DOCK STREET,E01004291,Tower Hamlets 027A,Investigation complete; no suspect identified
d6bb1f5e97d02e3262aeee0a925755b366f4430b501f1514a08facdbc21f5988,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.01599,51.523582,On or near REEVES ROAD,E01004239,Tower Hamlets 008E,Investigation complete; no suspect identified
b162b7b4c05d5759b0ed2104243296c01447ce649c69e2fc68d9e0154045daa3,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.04897,51.510143,On or near GLAMIS PLACE,E01004300,Tower Hamlets 022B,Investigation complete; no suspect identified
4b00822f796e5b6d37df336204843c82dd2ca30f4ca1d3ad60dcb458241a9032,2021-07,Metropolitan Police Service,Metropolitan Police Service,0.018162,51.487415,On or near FEARON STREET,E01033738,Greenwich 037D,Investigation complete; no suspect identified
5619253ff169e849eab4a6849c005e253693717c5823f5637c15f8ba586aff90,2021-07,Metropolitan Police Service,Metropolitan Police Service,0.062421,51.481223,On or near ENGINEER CLOSE,E01001702,Greenwich 015D,Investigation complete; no suspect identified
3aa4d8dd10df73fb29405d6d86429c93f41a05dbedf0070fb65427b0b4543bc2,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.20825,51.497802,On or near FAIRFAX PLACE,E01002867,Kensington and Chelsea 009C,Investigation complete; no suspect identified
92f8e7e513dc3c0b8107f4b4346349cdc4fa8e5babcf503a21dde79f12e3bcd1,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.158638,51.484426,On or near CHELSEA EMBANKMENT,E01002900,Kensington and Chelsea 018B,Investigation complete; no suspect identified
795b8b08cd9c7d74f0ebfbbba37eaffd79c06e045e86dac467c881e5a6a76f8a,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.158638,51.484426,On or near CHELSEA EMBANKMENT,E01002900,Kensington and Chelsea 018B,Suspect charged
fcdba790f37b42f28afabeb5a595557beaf5cdab0615353837c44ea3af597ef5,2021-07,Metropolitan Police Service,Metropolitan Police Service,-0.183649,51.497289,On or near GLOUCESTER ROAD,E01002887,Kensington and Chelsea 010A,Investigation complete; no suspect identified
3ab6511569963b16295a65bec13127803e83bbd98d13500c1fdac1976f080b76,2021-07,Metropolitan Police Service,Metropolitan Police Service,0.005642,51.537225,On or near BARNBY STREET,E01003636,Newham 020E,Investigation complete; no suspect identified
f85ba85b1a3ec91cbd9852bbec3ac23ad599d1921d92bb18963375caf46eb82d,2021-07,Metropolitan Police Service,Metropolitan Police Service,0.10493,51.485161,On or near Petrol Station,E01001573,Greenwich 008C,Investigation complete; no suspect identified
d2b993d30f68e642a9025c396898986637360b2720f476d499647d544389144a,2021-07,Metropolitan Police Service,Metropolitan Police Service,0.034156,51.483002,On or near WARREN COURT,E01001591,Greenwich 012C,Investigation complete; no suspect identified
c66c08f44e273411a55646c070b3079706e46f93f2809e9c66a253b14040f192,2021-07,Metropolitan Police Service,Metropolitan Police Service,0.068729,51.469772,On or near CLEANTHUS CLOSE,E01001680,Greenwich 020B,Investigation complete; no suspect identified
d3344763fd77cbd3409ce76efe3c6d1c49868404ea5041fccef30018e6009cb3,2021-07,Metropolitan Police Service,Metropolitan Police Service,0.118522,51.375895,On or near QUILTER ROAD,E01000789,Bromley 032B,Investigation complete; no suspect identified
